epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,487.537,0.96579,0.62864,0.99096,0.96884,0.97319,0.98422,0.72573,0.94885,0.50748,0.97148,0.000568388,0.000568388,0.000568388
76,494.47,0.94903,0.6305,0.98386,0.99217,0.97891,0.98657,0.77182,0.82052,0.48026,0.94219,0.000561055,0.000561055,0.000561055
77,501.397,1.00617,0.65565,0.98715,0.97216,0.98674,0.98678,0.75347,0.86289,0.51174,0.94991,0.000553722,0.000553722,0.000553722
78,508.373,0.96267,0.60933,0.98785,0.97358,0.99067,0.98652,0.7753,0.78991,0.49279,0.9263,0.00054639,0.00054639,0.00054639
79,515.305,0.96926,0.63019,0.98133,0.99223,0.97346,0.98741,0.78502,0.76231,0.46381,0.91794,0.000539057,0.000539057,0.000539057
80,522.294,0.95978,0.63829,0.98496,0.98112,0.98363,0.98589,0.72852,0.97326,0.50678,0.96888,0.000531725,0.000531725,0.000531725
81,529.326,0.94959,0.63142,0.9834,0.95863,0.97315,0.98418,0.77331,0.77619,0.48155,0.92277,0.000524392,0.000524392,0.000524392
82,536.297,0.95069,0.61704,0.96657,0.96355,0.96937,0.98447,0.77931,0.78189,0.48992,0.92259,0.000517059,0.000517059,0.000517059
83,543.328,0.96121,0.59793,0.98373,0.97097,0.98482,0.98648,0.81835,0.67202,0.46267,0.90906,0.000509727,0.000509727,0.000509727
84,550.361,0.9027,0.59471,0.97184,0.96783,0.98406,0.98537,0.81455,0.65894,0.45845,0.90691,0.000502394,0.000502394,0.000502394
85,557.397,0.93162,0.60699,0.96579,0.96412,0.97484,0.98584,0.78147,0.77394,0.47019,0.92926,0.000495062,0.000495062,0.000495062
86,564.357,0.94731,0.60656,0.98527,0.97093,0.98736,0.98627,0.7753,0.82996,0.48609,0.94396,0.000487729,0.000487729,0.000487729
87,571.465,0.96583,0.60634,0.98129,0.9819,0.9913,0.98678,0.78146,0.73148,0.46619,0.91486,0.000480396,0.000480396,0.000480396
88,578.574,0.95125,0.61302,0.96993,0.99247,0.98363,0.987,0.7874,0.70168,0.46956,0.9132,0.000473064,0.000473064,0.000473064
89,585.711,0.94774,0.60877,0.98417,0.98095,0.97529,0.98643,0.76068,0.81067,0.49076,0.93179,0.000465731,0.000465731,0.000465731
90,592.812,0.93028,0.61621,0.98427,0.97741,0.98298,0.98626,0.79243,0.71707,0.4822,0.91228,0.000458399,0.000458399,0.000458399
